,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.12,-134.97,75.99,83,81,17.27,PF,1605389950
1,Busselton,-33.65,115.33,48.0,98,3,13.47,AU,1605389951
2,Nikolskoye,59.7,30.79,32.0,86,75,4.47,RU,1605389954
3,Puerto Escondido,15.85,-97.07,84.2,70,20,7.09,MX,1605389956
4,Ushuaia,-54.8,-68.3,44.6,65,90,6.93,AR,1605389937
5,Ilulissat,69.22,-51.1,6.8,50,25,19.46,GL,1605389959
6,Cabedelo,-6.98,-34.83,78.8,83,20,6.93,BR,1605389960
7,Dikson,73.51,80.55,25.0,99,92,7.74,RU,1605389961
8,Vaini,-21.2,-175.2,80.6,78,40,9.17,TO,1605389963
9,Jamestown,42.1,-79.24,44.01,45,1,3.49,US,1605389797
10,Thompson,55.74,-97.86,19.4,85,90,14.99,CA,1605389966
11,Arraial do Cabo,-22.97,-42.03,77.0,88,40,5.82,BR,1605389967
12,Kavieng,-2.57,150.8,84.54,71,0,15.66,PG,1605389969
13,Puerto Ayora,-0.74,-90.35,75.2,78,20,16.11,EC,1605389970
14,Belmonte,-15.86,-38.88,82.4,78,20,6.93,BR,1605389972
15,Aksu,41.12,80.26,35.11,66,90,3.67,CN,1605389973
16,Mbandaka,0.05,18.26,71.56,91,99,2.17,CD,1605389974
17,Mwense,-10.38,28.7,68.23,92,100,5.28,ZM,1605389976
18,Punta Arenas,-53.15,-70.92,48.2,57,75,32.21,CL,1605389955
19,Kawalu,-7.38,108.21,72.54,91,92,0.89,ID,1605389980
20,Mar del Plata,-38.0,-57.56,68.0,77,90,9.17,AR,1605389765
21,Chui,-33.7,-53.46,68.83,85,99,7.85,UY,1605389983
22,Ahipara,-35.17,173.17,67.17,48,87,1.74,NZ,1605389984
23,Iqaluit,63.75,-68.51,21.2,62,75,10.29,CA,1605389767
24,Lagoa,39.05,-27.98,65.84,92,100,16.13,PT,1605389987
25,Engenheiro Beltrão,-23.8,-52.27,81.21,54,15,3.8,BR,1605389988
26,Grindavik,63.84,-22.43,30.2,86,0,6.93,IS,1605389772
27,Muyezerskiy,63.93,31.65,30.4,95,26,10.31,RU,1605389991
28,George Town,5.41,100.34,77.0,100,20,3.36,MY,1605389786
29,Cape Town,-33.93,18.42,62.01,81,20,6.93,ZA,1605389768
30,Sola,-13.88,167.55,84.2,83,75,6.93,VU,1605389995
31,Tilichiki,60.47,166.1,15.71,98,100,10.85,RU,1605389997
32,Alagoinhas,-12.14,-38.42,74.37,80,13,7.14,BR,1605389781
33,Homer,59.64,-151.55,34.0,69,1,8.66,US,1605389800
34,Chokurdakh,70.63,147.92,-23.84,86,1,6.67,RU,1605389766
35,Albany,42.6,-73.97,44.01,50,18,8.28,US,1605389703
36,Yaan,7.38,8.57,79.65,54,14,4.36,NG,1605390004
37,Conceição do Araguaia,-8.26,-49.26,84.16,57,72,3.96,BR,1605390005
38,Aklavik,68.22,-135.01,3.2,77,75,5.82,CA,1605390007
39,Saskylakh,71.92,114.08,-1.68,89,84,12.1,RU,1605390008
40,Butaritari,3.07,172.79,81.77,67,98,5.06,KI,1605390010
41,Kapaa,22.08,-159.32,80.6,74,90,10.29,US,1605390011
42,Fukuechō,32.69,128.84,68.02,67,24,4.25,JP,1605389983
43,Vestmannaeyjar,63.44,-20.27,38.88,74,11,6.87,IS,1605390014
44,Lebu,-37.62,-73.65,54.09,68,0,18.92,CL,1605390015
45,Mahroni,24.59,78.73,69.01,61,15,7.05,IN,1605390017
46,Port Elizabeth,-33.92,25.57,62.6,82,12,11.41,ZA,1605390018
47,Nova Olímpia,-14.8,-57.29,79.3,69,80,2.33,BR,1605390019
48,Port Alfred,-33.59,26.89,63.28,86,87,8.9,ZA,1605390021
49,Mataura,-46.19,168.86,64.99,70,100,5.01,NZ,1605389761
50,Hermanus,-34.42,19.23,57.99,86,86,3.49,ZA,1605389771
51,Fortuna,40.6,-124.16,57.0,71,40,8.05,US,1605390025
52,Padang,-0.95,100.35,78.06,78,100,4.76,ID,1605390026
53,Barrow,71.29,-156.79,23.0,62,40,17.22,US,1605390028
54,Bambous Virieux,-20.34,57.76,73.4,88,75,12.75,MU,1605389781
55,Bethel,41.37,-73.41,46.4,45,1,8.05,US,1605390031
56,Longyearbyen,78.22,15.64,39.2,80,40,6.93,SJ,1605390032
57,Hobart,-42.88,147.33,57.0,62,75,8.05,AU,1605389806
58,Jämsä,61.86,25.19,37.4,86,40,10.29,FI,1605390036
59,Hithadhoo,-0.6,73.08,82.8,78,100,21.81,MV,1605390038
